"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8373","@Smoke TC Sample","","2026-07-13","passed","2026-07-13","","LoginPage.spec.js","",""
"","49981","TC to Add the Product to Cart ZARA COAT 3 and place the Order","","2026-07-13","broken","2026-07-13","","OrderHistoryPageParameterization.spec.js","",""
"","50644","TC to Add the Product to Cart and place the Order","","2026-07-13","broken","2026-07-13","","EndtoEndPurchaseFlow.spec.ts","",""
"","49714","TC to Add the Product to Cart and place the Order","","2026-07-13","broken","2026-07-13","","DashboardPage.spec.js","",""
"","49772","TC to Add the Product to Cart and place the Order","","2026-07-13","broken","2026-07-13","","CartPage.spec.js","",""
"","17459","TC to Add the Product to Cart and place the Order","","2026-07-13","passed","2026-07-13","","PaymentPage.spec.js","",""
"","8247","@Smoke TC Sample 2","","2026-07-13","passed","2026-07-13","","LoginPage.spec.js","",""
"","50063","TC to Add the Product to Cart and place the Order","","2026-07-13","broken","2026-07-13","","LoginPage.spec.js","",""
"","49786","TC to Add the Product to Cart and place the Order","","2026-07-13","broken","2026-07-13","","OrderHistoryPage.spec.js","",""
"","17355","TC to Add the Product to Cart ADIDAS ORIGINAL and place the Order","","2026-07-13","passed","2026-07-13","","OrderHistoryPageParameterization.spec.js","",""
